doc_id,title,dispute_id,title
195,Procedural Order No. 6,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
188,Final Award,1445,Peter Franz Vocklinghaus v. Czech Republic
185,Award (English),1158,"Waste Management, Inc. v. United Mexican States (""Number 2""), ICSID Case No. ARB(AF)/00/3"
196,Procedural Order No. 7,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
197,Procedural Order No. 8,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
177,Decision of the Tribunal on Mexicoâ€™s Preliminary Objection concerning the Previous Proceedings (English),1158,"Waste Management, Inc. v. United Mexican States (""Number 2""), ICSID Case No. ARB(AF)/00/3"
177,Decision of the Tribunal on Mexicoâ€™s Preliminary Objection concerning the Previous Proceedings (English),1158,"Waste Management, Inc. v. United Mexican States (""Number 2""), ICSID Case No. ARB(AF)/00/3"
204,Decision on the Applicant's Application for Provisional Measures,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
1163,Award,770,"Oko Pankki Oyj,Â VTB Bank (Deutschland) AGÂ andÂ Sampo Bank PlcÂ v. The Republic of Estonia, ICSID Case No. ARB/04/6 (formerlyÂ OKO Osuuspankkien Keskuspankki Oyj and others v. Republic of Estonia)"
206,Decision on Stay of Enforcement of the Award,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
206,Decision on Stay of Enforcement of the Award,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
200,Procedural Order No. 11,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
189,Procedural Order No. 1,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
208,Decision on Annulment,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
201,Procedural Order No. 12,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
199,Procedural Order No. 10,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
191,Procedural Order No. 2,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
202,Procedural Order No. 13,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
198,Procedural Order No. 9,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
192,Procedural Order No. 3,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
203,Award,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
